지역구,주소
동대문구,"서울 동대문구 장한로17길 9 (장안1동 375-8, 장안동공감대빌딩)"
동대문구,"서울 동대문구 사가정로13가길 29, 1층(전농2동 53-21)"
동대문구,"서울 동대문구 제기로20길 32, 정화슈퍼(제기동 314)"
동대문구,"서울 동대문구 경희대로 23, 문화복지시설 101호 (회기동 1-5, 전면플라자)"
동대문구,서울 동대문구 장한로17길 9
동대문구,서울 동대문구 한빛로 24(신설동 25-1)
동대문구,서울 동대문구 고산자로28길 39
동대문구,서울 동대문구 장한로6길 42
동대문구,서울 동대문구 전농로38길 89 (휘경동 312-11)
동대문구,서울특별시 동대문구 장안동(장안1동) 374-11
동대문구,서울특별시 동대문구 장안동(장안1동) 384-3
동대문구,서울특별시 동대문구 장안동(장안1동) 403-1
동대문구,서울특별시 동대문구 회기동(회기동) 39-4
동대문구,서울 동대문구 휘경동 57-3 주공아파트 상가 103호
동대문구,서울 동대문구 회기동 16-92
동대문구,이문2동 264-326
동대문구,제기동137-37
동대문구,서울특별시 동대문구 장한로22길 19  (장안동)
동대문구,서울 동대문구 답십리동 244-1
동대문구,서울특별시 동대문구 이문로 203  1층
동대문구,서울 동대문구 신설동 76-25
동대문구,서울 동대문구 제기동 1158-33
동대문구,서울특별시 동대문구 이문동 82-13
동대문구,서울특별시 동대문구 장한로 91  1층 109호(장안동 373-3)
동대문구,장안동359-1
동대문구,서울특별시 동대문구 장안동 천호대로79길 30 1층
동대문구,서울 동대문구 전농동 645상가 101.102
동대문구,서울시 동대문구 이문동 346-5
중랑구,서울특별시 중랑구 면목동 409-47번지
중랑구,서울특별시 중랑구 면목동 104-14번지
중랑구,서울시 중랑구 상봉2동 79-2번지
중랑구,서울특별시 중랑구 망우동135-4번지 대원빌라
중랑구,서울특별시 중랑구 묵동172-26번지 영광주택 101호
중랑구,"서울특별시 중랑구 망우로 504, 1층"
중랑구,서울특별시 중랑구 망우로68길 56(망우동)
중랑구,서울 중랑구 용마산로112길 37 (망우본동 366-4)
중랑구,"서울 중랑구 용마산로99길 9, 1층 코너(망우3동 531-24)"
중랑구,서울 중랑구 묵1동 176-1
중랑구,"서울 중랑구 면목로56길 30(면목3.8동 428-4, 햇님놀이방)"
중랑구,서울 중랑구 용마산로94길 31 (면목3.8동 46-12)
중랑구,서울 중랑구 용마산로 308(면목7동 527-35)
중랑구,서울 중랑구 면목동 178-30
중랑구,"서울 중랑구 신내동 646 금강리빙스텔 104,105호"
중랑구,서울 중랑구 면목동 497-16
중랑구,"서울 중랑구 신내로7가길 35, 상가동 104,105호 (상봉1동 495, 동부건영아파트)"
중랑구,서울 중랑구 봉화산로56길 60(신내1동 410-9)
중랑구,서울특별시 중랑구 망우로 312-1
중랑구,"서울 중랑구 용마산로 248, 제B02호,제B03호(면목7동 1502-2)"
중랑구,"서울 중랑구 면목로69길 16, 101동 103호"
중랑구,"서울 중랑구 동일로136길 10, 102~4호(중화1동 286-22, 청원다미소)"
중랑구,"서울 중랑구 망우로30길 3,  1층 110호(상봉2동 130-3, 뉴월드극장상가)"
중랑구,서울특별시 중랑구 망우동(망우본동) 341-22
중랑구,서울특별시 중랑구 망우동(망우본동) 403-60
중랑구,서울특별시 중랑구 상봉동(상봉2동) 88-25
중랑구,서울특별시 중랑구 신내동(신내1동) 613-71
중랑구,서울 중랑구 망우동 183 1층
중랑구,서울 중랑구 망우동 340-22
중랑구,서울특별시 중랑구 면목동 618-1
중랑구,서울특별시 중랑구 면목동 185-9 1층
중랑구,서울특별시 중랑구 겸재로3길 5  1층(면목동)
중랑구,서울특별시 중랑구 망우로50길 25  (상봉동)
성북구,서울특별시 성북구 안암동5가 126-1번지
성북구,서울특별시 성북구 하월곡동 73-21번지
성북구,서울특별시 성북구 동선동1가 100번지
성북구,서울 성북구 삼선교로 16길 48
성북구,서울특별시 성북구 성북동 184-48번지
성북구,서울특별시 성북구 동소문동6가 116번지
성북구,서울특별시 성북구 정릉동 966-101번지
성북구,서울특별시 성북구 종암동 34-6번지
성북구,서울특별시 성북구 보문동2가75-15번지
성북구,서울 성북구 종암동 31-46
성북구,"서울 성북구 삼양로13길 45, 111,112호(길음동 1281-6, 길음뉴타운)"
성북구,서울 성북구 길음동 1284 상가B동 19호
성북구,서울 성북구 종암동 10-178 동진상가 107호
성북구,서울 성북구 석관동 124-34
성북구,"서울 성북구 보문로32길 69, 1층 (동선동2가 142-3)"
성북구,서울 성북구 보문로34길 88 (동선동2가 154)
성북구,"서울 성북구 보문로30가길 12, 1층 (안암동1가 47-2)"
성북구,서울 성북구 정릉동 413-16
성북구,서울 성북구 삼선동1가 266 1층
성북구,"서울 성북구 화랑로13길 42, 101호"
성북구,"서울 성북구 돌곶이로 46, 1층"
성북구,"서울 성북구 돌곶이로8바길 39, 1층 (석관동 67-18)"
성북구,"서울 성북구 화랑로33길 39, 1층(장위2동 66-9)"
성북구,서울 성북구 삼선교로18나길 26(삼선동5가 73-3)
성북구,서울 성북구 석관2동  341-16
성북구,서울특별시 성북구 장위동(장위1동) 231-590
성북구,서울특별시 성북구 장위동(장위1동) 238-122
성북구,서울특별시 성북구 정릉동(정릉4동) 266-390
성북구,서울특별시 성북구 안암동5가(안암동) 100-9
성북구,보문동7가 23-27
성북구,서울 성북구 삼선동4가 204-3
성북구,서울 성북구 삼선동5가 409번지
성북구,동선동3가212-1
성북구,서울특별시 성북구 동선동3가 234번지 101호
성북구,서울특별시 성북구 하월곡동 오패산로17길 40
성북구,서울특별시 성북구 정릉로 326 1층(정릉동)
성북구,서울 성북구 정릉동 45-39 1층
성북구,서울시 성북구 동소문로 26가길 40 1층
성북구,서울시 성북구 한천로 509 101-102호
성북구,서울시 성북구 돈암동 535 돈암코오롱하늘채아파트 상가동 102호
성북구, 서울시 성북구 장위동(장위1동) 238-198
성북구, 서울시 성북구 정릉동(정릉3동) 372-7 
강북구,서울특별시 강북구 미아동 734-286번지
강북구,서울특별시 강북구 미아동 138-68번지 미아대양점
강북구,서울특별시 강북구 미아동 450-64번지
강북구,서울특별시 강북구 미아동 838-8번지
강북구,서울특별시 강북구 미아동 8-144번지
강북구,"서울 강북구 한천로120길 2, 제103호,104호"
강북구,서울특별시 강북구 미아동 791-1622번지
강북구,서울특별시 강북구 번동 461-80번지
강북구,서울특별시 강북구 수유동 468-78번지
강북구,서울특별시 강북구 수유동 281-40번지
강북구,서울 강북구 도봉로67길 50(삼양동 791-17)
강북구,서울 강북구 수유동 409 창성빌딩
강북구,"서울 강북구 도봉로83길 20, 1층, 102,103,104호  (수유동 229-18, 동양빌딩)"
강북구,서울 강북구 노해로27길 21 (수유동 252-40)
강북구,서울특별시 강북구 미아동(미아동) 217-2
강북구,서울특별시 강북구 미아동(삼각산동) 693
강북구,서울특별시 강북구 번동(번1동) 446-1
강북구,서울특별시 강북구 번동(번1동) 447-51
강북구,서울특별시 강북구 수유동(수유3동) 1-60
강북구,서울특별시 강북구 수유동(수유3동) 223-1
강북구,서울특별시 강북구 수유동(수유3동) 230-7
강북구,서울특별시 강북구 번동(번1동) 412-52
강북구,서울특별시 강북구 삼양로19길 25 107동 지하 1층 3-2호
강북구,번동526-13
강북구,수유동 338-6
강북구,수유동 410-130
강북구,수유동 730 수유삼성아파트 가동 112호
강북구,서울특별시 강북구 수유동 36-1번지 1층 
강북구,수유동 252-122
강북구,미아3동160-11
강북구,수유동 47-4
강북구,미아동 162-48
강북구,번동 464-1번지 1층 1호
강북구,서울시 강북구 삼양로 73길 36 (수유동)
강북구,서울 강북구 수유동 50-1
강북구,서울시 강북구 삼양로 24길 19 101동 상가 103호
강북구, 서울시 강북구 미아동 304-20
도봉구,서울특별시 도봉구 쌍문동 423-7번지
도봉구,서울특별시 도봉구 도봉동 554-16번지 호정빌라트
도봉구,서울특별시 도봉구 방학동 619번지
도봉구,서울특별시 도봉구 쌍문동 460-234번지
도봉구,서울특별시 도봉구 쌍문동 79-15번지
도봉구,서울특별시 도봉구 쌍문동 294-38번지
도봉구,서울특별시 도봉구 쌍문동 122-53번지
도봉구,도봉구 해등로25길 32 한양프라자
도봉구,서울특별시 도봉구 창동 254-23번지
도봉구,서울특별시 도봉구 창동 674-27번지
도봉구,서울특별시 도봉구 창동 603-73번지
도봉구,서울특별시 도봉구 창동 5-1번지 KING프라자
도봉구,서울특별시 도봉구 창동 815번지 현대아이2차아파트
도봉구,서울 도봉구 방학2동 603-28
도봉구,서울 도봉구 쌍문동 667 1층
도봉구,서울 도봉구 도봉로 106길 86
도봉구,"서울 도봉구 도당로 133, 1층 (방학동 657-12)"
도봉구,"서울 도봉구 시루봉로 88, 14(쌍문4동 248-2, 성원프라자)"
도봉구,도봉구 방학동 도당로27길 43 1층
도봉구,서울특별시 도봉구 도봉산길 12  
도봉구,서울특별시 도봉구 도봉로108길 84  1층(창동)
도봉구,방학동 665
도봉구,쌍문동 713-31
도봉구,쌍문동344
도봉구,서울 도봉구 창동 38-2
도봉구,창동 593-12
도봉구,서울시 도봉구 쌍문동 423-19번지
도봉구,서울시 도봉구 쌍문동 우이천로 367
노원구,서울특별시 노원구 공릉동 408-4번지
노원구,서울특별시 노원구 공릉동 568-1번지
노원구,서울특별시 노원구 상계동 443-9번지
노원구,서울특별시 노원구 상계동 763-6번지
노원구,서울특별시 노원구 상계동 994번지 명안빌딩
노원구,"서울특별시 노원구 상계동 단대아파트상가 107, 108호"
노원구,서울 노원구 공릉동 120-5
노원구,서울특별시 노원구 상계동 1120-1번지
노원구,서울 노원구 한글비석로 8길 41 주공아파트 1층 101호
노원구,서울시 노원구 하계1동 170-41
노원구,서울특별시 노원구 하계동 256-13번지
노원구,서울특별시 노원구 상계동1008-34번지
노원구,서울 노원구 월계동 68-65 1층
노원구,"서울 노원구 상계로23다길 13-8, 101동 118,119호(상계2동 1318, 노원아이파크)"
노원구,서울 노원구 노원로28길 73(상계2동 183)
노원구,"서울 노원구 동일로237길 46, 1층(상계1동 1048-6)"
노원구,"서울 노원구 월계로45길 28, 1층(월계2동 562, 월계아파트형공장)"
노원구,"서울 노원구 동일로190길 26, 1층 (공릉1동 502-3)"
노원구,"서울 노원구 마들로3길 37,  104호(월계3동 322-1, 성원아파트4단지)"
노원구,"서울 노원구 섬밭로 134(공릉1동 727, 풍림아파트114동105호,106호)"
노원구,서울 노원구 한글비석로20길 46(중계4동 138-1)
노원구,서울특별시 노원구 공릉동 공릉로38길 17
노원구,공릉동 633-15
노원구,월계동411-13
노원구,서울특별시 노원구 한글비석로 436-1  
노원구,상계동322-56
노원구,"서울특별시 노원구 동일로217가길 11 102,103호"
노원구,서울특별시 노원구 상계동  711-13 제1층중1층  
노원구,상계동 323-9
노원구,서울 노원구 상계동 상계로 283 (1층상가)
노원구,상계동 735-6
노원구,서울특별시 노원구 덕릉로60길 234  
노원구,중계동362-3 중계8단지주공@ 상가동 105호
노원구,중계동366-6
노원구,중계동359-15 102호
은평구,서울특별시 은평구 서오릉로 20길 20-1
은평구,서울특별시 은평구 진관동29번지 은평뉴타운구파발 상가 구파발 1028동 102호
은평구,서울특별시 은평구 불광동268-3번지 1층
은평구,서울특별시 은평구 응암동732-9번지 응암동  상가 1층
은평구,서울특별시 은평구 갈현동463-18번지 건물 코너 1층
은평구,"서울 은평구 서오릉로17길 17, 1층 (구산동 368-55)"
은평구,서울 은평구 녹번동 117-61
은평구,"서울 은평구 통일로 750 (불광1동 267-1, 경일빌딩)"
은평구,"서울 은평구 진흥로1길 49, 1층(역촌동 23-1)"
은평구,"서울 은평구 연서로26길 11, 1층 (대조동 196-25, 유진빌딩)"
은평구,"서울 은평구 연서로21길 24-1, 1층(갈현2동 486-22)"
은평구,"서울 은평구 연서로27길 14, 1층 (갈현2동 454-27, 영화빌딩)"
은평구,서울 은평구 역촌동 85-41 리더스파크 109호
은평구,"서울 은평구 불광동 1-200 북한산래미안 상가동 지층 1,2호"
은평구,"서울 은평구 연서로 289, 1층"
은평구,"서울 은평구 연서로 274, 1층"
은평구,"서울 은평구 연서로28길 6, 1층(대조동 198-3)"
은평구,서울 은평구 통일로85길 6
은평구,"서울 은평구 갈현로4길 26, 1층"
은평구,서울 은평구 진관3로 15-35
은평구,"서울 은평구 진관2로 77, 206동 B108호"
은평구,"서울 은평구 은평터널로7길 2, 상가 지하 2호"
은평구,"서울 은평구 갈현로25길 14, 1층 101호"
은평구,"서울 은평구 통일로 796, 116, 117호"
은평구,"서울 은평구 진관4로 37, 101호"
은평구,서울특별시 은평구 대조동(대조동) 196-8
은평구,서울특별시 은평구 통일로78길 12-4  (불광동)
은평구,서울 은평구 불광동 301-23
은평구,서울 은평구 신사동 12-15
은평구,서울특별시 은평구 응암동 745-16 정훈빌딩 1층
은평구,서울시 은평구 불광동 312-129
은평구,서울시 은평구 연서로9길14(구산동)
은평구,서울시 은평구 응암동 579-7
서대문구,독립문공원길 17 독립문극동아파트(현저동) 103동 옆 상가
서대문구,경기대로48(충정로2가 188-1)
서대문구,연희로 126(연희동)
서대문구,연희맛로 38(연희동)
서대문구,연희로5길 66(연희동)
서대문구,가좌로 31(연희동)
서대문구,통일로37길 18(홍제동)
서대문구,통일로39길 22(홍제동)
서대문구,홍제동451-18번지(홍제동)
서대문구,증가로 264(북가좌동)
서대문구,거북골로 223(북가좌동)
서대문구,거북골로 170(북가좌동)
서대문구,증가로12나길 101(북가좌2동)
